Coastal Counter Stools
Name,URL,Image,Availability,Shop Price (IMAP with Shipping),Description,Dimensions,Weight,Colors
"Leda Rattan Counter Stool, 17.72"" X 25.2"", Honey Brown",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1007-safavieh/328914-leda-rattan-counter-stool-1772-x-252-honey-brown/5444fb735405b39d26aebb8a46513a0b.jpg?fm=jpg&tr=w-1024,Available for Order,$204.67,"Designed to bring warmth, texture and style to the contemporary interior, this rattan counter stool is an investment. Crafted with natural mindi wood, its honey brown finish complements any open plan dining area. Designers love its gently curved seat. Seat Dimensions: 18.10"" x 14.20"" x 25.60"", Leg Height: 23.6"". Dust regularly with a soft, dry cloth. Never use oiled or treated cloths on lacquered finishes. Some finishes can be wiped with a damp (not wet) cloth, followed at once by rubbing with a dry cloth to remove fingerprints and smudges. For persistent spots, gently clean with a soft cloth and a solution of water and mild soap, make sure to wipe dry. Use adhesive felt pads, coasters and placemats to protect your furniture.","25.20""H x 17.72""W x 17.72""D",8.40lbs,
"Leda Rattan Bar Stool, 17.72"" X 31.1"", Honey Brown",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1007-safavieh/328912-leda-rattan-bar-stool-1772-x-311-honey-brown/902787ad907710f881eae2de278d7fd7.jpg?fm=jpg&tr=w-1024,Available for Order,$231.29,"Inspired by daydreams of tropical breezes, this rattan bar stool transforms any interior into an exotic oasis. Crafted with natural mindi wood, its texture and honey brown finish bring depth and dimension to any open plan dining room. An instant vacation. Seat Dimensions: 18.10"" x 14.20"" x 30.70"", Leg Height: 29.1"". Dust regularly with a soft, dry cloth. Never use oiled or treated cloths on lacquered finishes. Some finishes can be wiped with a damp (not wet) cloth, followed at once by rubbing with a dry cloth to remove fingerprints and smudges. For persistent spots, gently clean with a soft cloth and a solution of water and mild soap, make sure to wipe dry. Use adhesive felt pads, coasters and placemats to protect your furniture.","31.10""H x 17.72""W x 17.72""D",9lbs,
"Leda Rattan Bar Stool, 17.72"" X 31.1"", White/Grey",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1007-safavieh/328913-leda-rattan-bar-stool-1772-x-311-whitegrey/f8eecc2d8ab9ea20d5bc0468db50c6f4.jpg?fm=jpg&tr=w-1024,Available for Order,$231.29,"Inspired by daydreams of tropical breezes, this rattan bar stool transforms any interior into an exotic oasis. Crafted with natural mindi wood, its texture and white wash finish bring depth and dimension to any open plan dining room. An instant vacation. Seat Dimensions: 18.10"" x 14.20"" x 30.70"", Leg Height: 29.1"". Dust regularly with a soft, dry cloth. Never use oiled or treated cloths on lacquered finishes. Some finishes can be wiped with a damp (not wet) cloth, followed at once by rubbing with a dry cloth to remove fingerprints and smudges. For persistent spots, gently clean with a soft cloth and a solution of water and mild soap, make sure to wipe dry. Use adhesive felt pads, coasters and placemats to protect your furniture.","31.10""H x 17.72""W x 17.72""D",9lbs,
"Percy Wicker Counter Stool, 18.9"" X 29.5""",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1007-safavieh/328893-percy-wicker-counter-stool-189-x-295/a4289ccd7c7a499c15d672e250c9512a.jpg?fm=jpg&tr=w-1024,Available for Order,$246.27,"Bring the charm of cottage living to the table with this classic wicker counter stool. Crafted in traditional rattan, its distressed white finish creates an aura of welcoming warmth and lends instant character with its timeless style. A designer favorite. Dust regularly with a soft, dry cloth. Never use oiled or treated cloths on lacquered finishes. Some finishes can be wiped with a damp (not wet) cloth, followed at once by rubbing with a dry cloth to remove fingerprints and smudges. For persistent spots, gently clean with a soft cloth and a solution of water and mild soap, make sure to wipe dry. Use adhesive felt pads, coasters and placemats to protect your furniture.","29.50""H x 18.90""W x 18.90""D",9.90lbs,
"Rayna Wicker Bar Stool, 16.9"" X 27.5""",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1007-safavieh/328803-rayna-wicker-bar-stool-169-x-275/ac734a731b57d1e58f948726650e1def.jpg?fm=jpg&tr=w-1024,Available for Order,$199.68,"Intricately woven natural washed kubu rattan makes a stylish bar stool for a kitchen island or bar. Designed for comfort, the curved saddle seat cradles the body, while classic wrapped legs and footrest offer the perfect marriage of form and function. Seat Dimensions: 17.70"" x 13.70"" x 27.50"",. Dust regularly with a soft, dry cloth. Never use oiled or treated cloths on lacquered finishes. Some finishes can be wiped with a damp (not wet) cloth, followed at once by rubbing with a dry cloth to remove fingerprints and smudges. For persistent spots, gently clean with a soft cloth and a solution of water and mild soap, make sure to wipe dry. Use adhesive felt pads, coasters and placemats to protect your furniture.","27.50""H x 16.90""W x 16.50""D",7.70lbs,
"Damara Rattan Counter Stool, White",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1027-new-pacific-direct/336779-damara-rattan-counter-stool-white/7ff911b890bc9e32f0caa8eba4754aab.jpg?fm=jpg&tr=w-1024,Available for Order,$210.34,"Boho-Chic in 24"" seat height counter stool an all-time favorite! The gently curving saddle seat sits atop thick bent rattan frame for style and sturdiness. Fully assembled, available in Canary Brown, White and Black frame. Joints are wrapped in Brown tone rattan peel binding for an appealing contrast.","24""H x 15.50""W x 19""D",11lbs,White
"Damara Rattan Counter Stool, Canary Brown",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1027-new-pacific-direct/336778-damara-rattan-counter-stool-canary-brown/11ae5c0f51cd107e4e7cbd4fa0db28f3.jpg?fm=jpg&tr=w-1024,Available for Order,$210.34,"Boho-Chic in 24"" seat height counter stool an all-time favorite! The gently curving saddle seat sits atop thick bent rattan frame for style and sturdiness. Fully assembled, available in Canary Brown, White and Black frame. Joints are wrapped in Brown tone rattan peel binding for style and stability.","24""H x 15.50""W x 19""D",11lbs,Canary Brown
"Capri Counter Stool, 20"" X 27.1"", Natural Teak/White Leather",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1007-safavieh/326609-capri-counter-stool-20-x-271-natural-teakwhite-leather/d680be03dc2b4e33e0b3979305ff9375.jpg?fm=jpg&tr=w-1024,Available for Order,$302.84,"For those who want a breezy ambiance in their kitchen or dining room décor, the Capri Counter Stool is the high-style solution. Capri is crafted of smooth teak in a rich natural finish that perfectly supports a seat of white leather bands, ideal for bringing beach-like relaxation to any dining experience. Seat Dimensions: 17.70"" x 15.30"" x 27.10"", Leg Height: 27.1"", Fill Material: Leather. Protect leather from direct sunlight and sources of heat to prevent colour fading, keep away from fire, for general cleaning only use a dry soft clot if necessary, wipe or lightly rub the whole surface with a clean, soft cloth.","27.10""H x 20""W x 17.70""D",11.20lbs,
Taylor Counter Stool In Light Sand And Natural Ash,https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/vendors/alder-and-tweed/taylor-counter-stool-in-light-sand-and-natural-ash/3296dde77164c8f2b180fd86dadab118.png?fm=jpg&tr=w-1024,Available for Order,$470.76,Fabric:  Light Sand,"39.50""H x 21""W x 26.50""D",,"Cream, Medium Brown"
Taylor Bar Stool In Light Sand And Natural Ash,https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/vendors/alder-and-tweed/taylor-bar-stool-in-light-sand-and-natural-ash/79c454e5aaf1c910e683b8a7c2368f47.png?fm=jpg&tr=w-1024,Available for Order,$470.76,Collection:  Taylor,"49.50""H x 21""W x 26.50""D",,"Cream, Medium Brown"
